         0	    0.0355
     0.085	     0.372
     0.235	     0.727
     0.433	     0.948
     0.595	     0.929
     0.749	      0.84
         1	     0.608
      1.19	     0.376
      1.38	     0.287
      1.75	     0.125
         2	     0.115
