0.033386 -0.000062
0.033791 -0.000121
0.033858 -0.000179
0.033586 -0.000235
0.032978 -0.000289
0.032039 -0.000340
0.030779 -0.000388
0.029212 -0.000431
0.027351 -0.000470
0.025216 -0.000505
0.022829 -0.000535
0.020213 -0.000559
0.017395 -0.000577
0.014403 -0.000590
0.011266 -0.000597
0.008016 -0.000598
0.004686 -0.000593
0.001309 -0.000582
-0.002081 -0.000565
-0.005450 -0.000542
-0.008764 -0.000515
-0.011991 -0.000481
-0.015098 -0.000443
-0.018053 -0.000401
-0.020828 -0.000355
-0.023394 -0.000305
-0.025725 -0.000252
-0.027799 -0.000196
-0.029595 -0.000139
-0.031094 -0.000080
-0.032282 -0.000020
-0.033146 0.000040
-0.033678 0.000099
-0.033873 0.000158
-0.033729 0.000214
-0.033246 0.000269
-0.032431 0.000321
-0.031291 0.000370
-0.029837 0.000415
-0.028085 0.000456
-0.026051 0.000493
-0.023757 0.000524
-0.021224 0.000550
-0.018479 0.000571
-0.015548 0.000586
-0.012462 0.000595
-0.009252 0.000598
-0.005948 0.000595
-0.002585 0.000587
0.000804 0.000572
0.004185 0.000552
0.007524 0.000526
0.010788 0.000494
0.013944 0.000458
0.016960 0.000418
0.019806 0.000373
0.022453 0.000324
0.024876 0.000272
0.027050 0.000217
0.028952 0.000161
0.030565 0.000102
0.031872 0.000043
0.032859 -0.000017
0.033517 -0.000077
0.033839 -0.000136
0.033823 -0.000193
0.033467 -0.000249
0.032777 -0.000302
0.031758 -0.000352
0.030421 -0.000399
0.028779 -0.000441
0.026849 -0.000479
0.024650 -0.000513
0.022204 -0.000541
0.019536 -0.000564
0.016672 -0.000581
0.013641 -0.000592
0.010474 -0.000598
0.007201 -0.000597
0.003857 -0.000591
0.000473 -0.000578
-0.002915 -0.000560
-0.006273 -0.000536
-0.009569 -0.000507
-0.012770 -0.000472
-0.015842 -0.000433
-0.018755 -0.000390
-0.021481 -0.000343
-0.023991 -0.000292
-0.026262 -0.000238
-0.028269 -0.000182
-0.029993 -0.000124
-0.031416 -0.000065
-0.032525 -0.000006
-0.033308 0.000054
-0.033758 0.000114
-0.033869 0.000172
-0.033641 0.000228
-0.033076 0.000282
-0.032180 0.000334
-0.030961 0.000382
-0.029432 0.000426
-0.027609 0.000466
-0.025509 0.000501
-0.023153 0.000531
-0.020566 0.000556
-0.017772 0.000575
-0.014801 0.000589
-0.011681 0.000596
-0.008444 0.000598
-0.005123 0.000594
